Project,Category,Value
Second Avenue Subway South to Houston,Objectives,Provide service to underserved communities; enhance transit options and improve network connectivity by providing transfer opportunities; increase subway service frequency between 72nd St and 125th St with the addition of new T line service; reduce travel times for customers east of 2nd Avenue; reduce demand on the Lexington Avenue Line; and support opportunities for development and growth near stations.
Second Avenue Subway South to Houston,Total Construction Cost ($2027),"$13,500,000,000 "
Second Avenue Subway South to Houston,Cost: Vehicles ($2027),"$611,173,000 "
Second Avenue Subway South to Houston,Annual O&M Cost ($2027),"$106,000,000 "
Second Avenue Subway South to Houston,Daily Riders (2045),"230,400"
Second Avenue Subway South to Houston,New Daily Riders (2045),"2,900"
Second Avenue Subway South to Houston,Equity Area Riders (2045),"137,490"
Second Avenue Subway South to Houston,Travel Time Saved Per Trip (minutes),2
Second Avenue Subway South to Houston,Cost/Time Saved metric,Cost/minute
Second Avenue Subway South to Houston,Cost/Time Saved result,$4.47 
Second Avenue Subway South to Houston,Cost/Time Saved score,73
Second Avenue Subway South to Houston,Equity metric,Percent
Second Avenue Subway South to Houston,Equity result,59.70%
Second Avenue Subway South to Houston,Equity score,48
Second Avenue Subway South to Houston,Sustainability metric,Change in daily vehicle miles traveled
Second Avenue Subway South to Houston,Sustainability result,"-3,747"
Second Avenue Subway South to Houston,Sustainability score,26
Second Avenue Subway South to Houston,Resiliency metric,Number of Rail Connections
Second Avenue Subway South to Houston,Resiliency result,16
Second Avenue Subway South to Houston,Resiliency score,89
Second Avenue Subway South to Houston,Capacity metric,Change in passenger hours
Second Avenue Subway South to Houston,Capacity result,"-2,595"
Second Avenue Subway South to Houston,Capacity score,32
Second Avenue Subway South to Houston,Geographic distribution metric,Change in hours
Second Avenue Subway South to Houston,Geographic distribution result,-296
Second Avenue Subway South to Houston,Geographic distribution score,0
Second Avenue Subway South to Houston,Network leverage metric,Percent
Second Avenue Subway South to Houston,Network leverage result,0.5
Second Avenue Subway South to Houston,Network leverage score,33
Second Avenue Subway South to Houston,Cost: Guideway and Track Elements,"$1,500,421,000 "
Second Avenue Subway South to Houston,"Cost: Stations, Stops, Terminals, Intermodal","$2,216,144,000 "
Second Avenue Subway South to Houston,Cost: Support Facilities,"$127,500,000 "
Second Avenue Subway South to Houston,Cost: Sitework and Special Considerations,"$1,881,268,000 "
Second Avenue Subway South to Houston,Cost: Systems,"$119,962,000 "
Second Avenue Subway South to Houston,Cost: Engineering Contingency,"$1,031,523,000 "
Second Avenue Subway South to Houston,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Second Avenue Subway South to Houston,Cost: Professional Services,"$1,753,588,000 "
Second Avenue Subway South to Houston,Cost: Contingency,"$1,375,363,000 "
Second Avenue Subway South to Houston,Cost: Original Estimate Year,2020
Second Avenue Subway South to Houston,Cost: Escalation from original estimate year to Q1 2022 (varies),"$1,165,672,000 "
Second Avenue Subway South to Houston,Cost: Escalation from Q1 2022 to Q3 2027,"$2,326,923,000 "
Second Avenue Subway South to Houston,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Second Avenue Subway South to Houston,Network Leverage: % on MTA Right of Way,0%
Second Avenue Subway South to Houston,Network Leverage: % on Public Right of Way,100%
Second Avenue Subway South to Houston,Network Leverage: % on Private Right of Way,0%
Second Avenue Subway West Extension 125th Street/Broadway,Description,"Extension of the Second Avenue Subway west along 125th Street, terminating at Broadway-125th St, with 3 new subway stations."
Second Avenue Subway West Extension 125th Street/Broadway,Objectives,Improve mobility and connections between West and East sides of Manhattan; provide customers with accessibility to East Side job centers via Second Avenue Subway; add opportunities for development and growth near stations; reduce congestion on bus routes along 125th Street.
Second Avenue Subway West Extension 125th Street/Broadway,Total Construction Cost ($2027),"$7,540,000,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Vehicles ($2027),"$611,174,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Annual O&M Cost ($2027),"$65,000,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Daily Riders (2045),"239,700"
Second Avenue Subway West Extension 125th Street/Broadway,New Daily Riders (2045),"7,500"
Second Avenue Subway West Extension 125th Street/Broadway,Equity Area Riders (2045),"224,050"
Second Avenue Subway West Extension 125th Street/Broadway,Travel Time Saved Per Trip (minutes),3.6
Second Avenue Subway West Extension 125th Street/Broadway,Cost/Time Saved metric,Cost/minute
Second Avenue Subway West Extension 125th Street/Broadway,Cost/Time Saved result,$1.43 
Second Avenue Subway West Extension 125th Street/Broadway,Cost/Time Saved score,97
Second Avenue Subway West Extension 125th Street/Broadway,Equity metric,Percent
Second Avenue Subway West Extension 125th Street/Broadway,Equity result,93.50%
Second Avenue Subway West Extension 125th Street/Broadway,Equity score,93
Second Avenue Subway West Extension 125th Street/Broadway,Sustainability metric,Change in daily vehicle miles traveled
Second Avenue Subway West Extension 125th Street/Broadway,Sustainability result,"-26,017"
Second Avenue Subway West Extension 125th Street/Broadway,Sustainability score,50
Second Avenue Subway West Extension 125th Street/Broadway,Resiliency metric,Number of Rail Connections
Second Avenue Subway West Extension 125th Street/Broadway,Resiliency result,11
Second Avenue Subway West Extension 125th Street/Broadway,Resiliency score,61
Second Avenue Subway West Extension 125th Street/Broadway,Capacity metric,Change in passenger hours
Second Avenue Subway West Extension 125th Street/Broadway,Capacity result,"-6,952"
Second Avenue Subway West Extension 125th Street/Broadway,Capacity score,87
Second Avenue Subway West Extension 125th Street/Broadway,Geographic distribution metric,Change in hours
Second Avenue Subway West Extension 125th Street/Broadway,Geographic distribution result,"-4,106"
Second Avenue Subway West Extension 125th Street/Broadway,Geographic distribution score,15
Second Avenue Subway West Extension 125th Street/Broadway,Network leverage metric,Percent
Second Avenue Subway West Extension 125th Street/Broadway,Network leverage result,0.5
Second Avenue Subway West Extension 125th Street/Broadway,Network leverage score,33
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Guideway and Track Elements,"$818,981,000 "
Second Avenue Subway West Extension 125th Street/Broadway,"Cost: Stations, Stops, Terminals, Intermodal","$1,310,034,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Support Facilities,"$4,250,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Sitework and Special Considerations,"$1,051,440,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Systems,"$82,456,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Engineering Contingency,"$576,558,000 "
Second Avenue Subway West Extension 125th Street/Broadway,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Professional Services,"$980,148,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Contingency,"$768,744,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Original Estimate Year,2020
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Escalation from original estimate year to Q1 2022 (varies),"$651,539,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Escalation from Q1 2022 to Q3 2027,"$1,300,607,000 "
Second Avenue Subway West Extension 125th Street/Broadway,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Second Avenue Subway West Extension 125th Street/Broadway,Network Leverage: % on MTA Right of Way,0%
Second Avenue Subway West Extension 125th Street/Broadway,Network Leverage: % on Public Right of Way,100%
Second Avenue Subway West Extension 125th Street/Broadway,Network Leverage: % on Private Right of Way,0%
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Description,"Extension of the 2nd Avenue Subway west along 125th Street then turning north along Broadway, terminating at Broadway-137th St, with up to four new subway stations."
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Objectives,Improve mobility and connections between West and East sides of Manhattan; provide customers with accessibility to East Side job centers via Second Avenue Subway; add opportunities for development and growth near stations; reduce congestion on bus routes along 125th Street.
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Total Construction Cost ($2027),"$9,120,000,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Vehicles ($2027),"$716,548,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Annual O&M Cost ($2027),"$80,000,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Daily Riders (2045),"256,800"
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,New Daily Riders (2045),"8,800"
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Equity Area Riders (2045),"240,930"
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Travel Time Saved Per Trip (minutes),3.8
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost/Time Saved metric,Cost/minute
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost/Time Saved result,$1.52 
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost/Time Saved score,96
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Equity metric,Percent
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Equity result,93.80%
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Equity score,93
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Sustainability metric,Change in daily vehicle miles traveled
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Sustainability result,"-31,518"
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Sustainability score,56
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Resiliency metric,Number of Rail Connections
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Resiliency result,11
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Resiliency score,61
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Capacity metric,Change in passenger hours
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Capacity result,"-10,377"
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Capacity score,100
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Geographic distribution metric,Change in hours
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Geographic distribution result,"-8,981"
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Geographic distribution score,34
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Network leverage metric,Percent
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Network leverage result,0.5
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Network leverage score,33
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Guideway and Track Elements,"$1,120,076,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,"Cost: Stations, Stops, Terminals, Intermodal","$1,464,172,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Support Facilities,"$4,250,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Sitework and Special Considerations,"$1,271,327,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Systems,"$89,082,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Engineering Contingency,"$696,866,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Professional Services,"$1,184,672,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Contingency,"$929,155,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Original Estimate Year,2020
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Escalation from original estimate year to Q1 2022 (varies),"$787,493,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Escalation from Q1 2022 to Q3 2027,"$1,572,000,000 "
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Network Leverage: % on MTA Right of Way,0%
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Network Leverage: % on Public Right of Way,100%
Second Avenue Subway West Extension Alternative Considered: 137th Street/Broadway via Broadway,Network Leverage: % on Private Right of Way,0%
Speonk Montauk Capacity Improvements,Description,"Improvements of the Long Island Rail Road Montauk Branch between Speonk and Montauk, including signal upgrades and associated infrastructure work."
Speonk Montauk Capacity Improvements,Objectives,Improve operational flexibility and ability to add service westbound during the PM.
Speonk Montauk Capacity Improvements,Total Construction Cost ($2027),"$260,000,000 "
Speonk Montauk Capacity Improvements,Cost: Vehicles ($2027),"$79,729,000 "
Speonk Montauk Capacity Improvements,Annual O&M Cost ($2027),"$6,000,000 "
Speonk Montauk Capacity Improvements,Daily Riders (2045),"1,500"
Speonk Montauk Capacity Improvements,New Daily Riders (2045),100
Speonk Montauk Capacity Improvements,Equity Area Riders (2045),540
Speonk Montauk Capacity Improvements,Travel Time Saved Per Trip (minutes),2.9
Speonk Montauk Capacity Improvements,Cost/Time Saved metric,Cost/minute
Speonk Montauk Capacity Improvements,Cost/Time Saved result,$13.66 
Speonk Montauk Capacity Improvements,Cost/Time Saved score,3
Speonk Montauk Capacity Improvements,Equity metric,Percent
Speonk Montauk Capacity Improvements,Equity result,35.40%
Speonk Montauk Capacity Improvements,Equity score,16
Speonk Montauk Capacity Improvements,Sustainability metric,Change in daily vehicle miles traveled
Speonk Montauk Capacity Improvements,Sustainability result,"-2,143"
Speonk Montauk Capacity Improvements,Sustainability score,24
Speonk Montauk Capacity Improvements,Resiliency metric,Number of Rail Connections
Speonk Montauk Capacity Improvements,Resiliency result,0
Speonk Montauk Capacity Improvements,Resiliency score,0
Speonk Montauk Capacity Improvements,Capacity metric,Change in passenger hours
Speonk Montauk Capacity Improvements,Capacity result,"1,063"
Speonk Montauk Capacity Improvements,Capacity score,0
Speonk Montauk Capacity Improvements,Geographic distribution metric,Change in hours
Speonk Montauk Capacity Improvements,Geographic distribution result,"-2,049"
Speonk Montauk Capacity Improvements,Geographic distribution score,7
Speonk Montauk Capacity Improvements,Network leverage metric,Percent
Speonk Montauk Capacity Improvements,Network leverage result,1
Speonk Montauk Capacity Improvements,Network leverage score,100
Speonk Montauk Capacity Improvements,Cost: Guideway and Track Elements,"$2,704,000 "
Speonk Montauk Capacity Improvements,"Cost: Stations, Stops, Terminals, Intermodal","$35,371,000 "
Speonk Montauk Capacity Improvements,Cost: Support Facilities,"$13,274,000 "
Speonk Montauk Capacity Improvements,Cost: Sitework and Special Considerations,"$39,951,000 "
Speonk Montauk Capacity Improvements,Cost: Systems,"$6,843,000 "
Speonk Montauk Capacity Improvements,Cost: Engineering Contingency,"$17,319,000 "
Speonk Montauk Capacity Improvements,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Speonk Montauk Capacity Improvements,Cost: Professional Services,"$57,465,000 "
Speonk Montauk Capacity Improvements,Cost: Contingency,"$23,092,000 "
Speonk Montauk Capacity Improvements,Cost: Original Estimate Year,2020
Speonk Montauk Capacity Improvements,Cost: Escalation from original estimate year to Q1 2022 (varies),"$22,836,000 "
Speonk Montauk Capacity Improvements,Cost: Escalation from Q1 2022 to Q3 2027,"$45,586,000 "
Speonk Montauk Capacity Improvements,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Speonk Montauk Capacity Improvements,Network Leverage: % on MTA Right of Way,100%
Speonk Montauk Capacity Improvements,Network Leverage: % on Public Right of Way,0%
Speonk Montauk Capacity Improvements,Network Leverage: % on Private Right of Way,0%
Staten Island North Shore Bus Rapid Transit,Description,Implementation of a new 8-mile Bus Rapid Transit service along 4.8 miles of the former North Shore Railroad right-of-way and 3.2 miles on City streets; operating on an exclusive bus lane along Richmond Terrace (0.5 mi) and in mixed traffic along South Avenue (2.7 mi).
Staten Island North Shore Bus Rapid Transit,Objectives,"Improve connections between neighborhoods and existing North and West Shore activity centers, industries, employment centers, and the Staten Island Railway; enhance transit reliability"
Staten Island North Shore Bus Rapid Transit,Total Construction Cost ($2027),"$1,300,000,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Vehicles ($2027),"$33,727,000 "
Staten Island North Shore Bus Rapid Transit,Annual O&M Cost ($2027),"$24,000,000 "
Staten Island North Shore Bus Rapid Transit,Daily Riders (2045),"32,000"
Staten Island North Shore Bus Rapid Transit,New Daily Riders (2045),"1,300"
Staten Island North Shore Bus Rapid Transit,Equity Area Riders (2045),"22,820"
Staten Island North Shore Bus Rapid Transit,Travel Time Saved Per Trip (minutes),5.6
Staten Island North Shore Bus Rapid Transit,Cost/Time Saved metric,Cost/minute
Staten Island North Shore Bus Rapid Transit,Cost/Time Saved result,$1.43 
Staten Island North Shore Bus Rapid Transit,Cost/Time Saved score,97
Staten Island North Shore Bus Rapid Transit,Equity metric,Percent
Staten Island North Shore Bus Rapid Transit,Equity result,71.40%
Staten Island North Shore Bus Rapid Transit,Equity score,64
Staten Island North Shore Bus Rapid Transit,Sustainability metric,Change in daily vehicle miles traveled
Staten Island North Shore Bus Rapid Transit,Sustainability result,"-7,904"
Staten Island North Shore Bus Rapid Transit,Sustainability score,30
Staten Island North Shore Bus Rapid Transit,Resiliency metric,Number of Rail Connections
Staten Island North Shore Bus Rapid Transit,Resiliency result,1
Staten Island North Shore Bus Rapid Transit,Resiliency score,6
Staten Island North Shore Bus Rapid Transit,Capacity metric,Change in passenger hours
Staten Island North Shore Bus Rapid Transit,Capacity result,42
Staten Island North Shore Bus Rapid Transit,Capacity score,0
Staten Island North Shore Bus Rapid Transit,Geographic distribution metric,Change in hours
Staten Island North Shore Bus Rapid Transit,Geographic distribution result,"-11,013"
Staten Island North Shore Bus Rapid Transit,Geographic distribution score,42
Staten Island North Shore Bus Rapid Transit,Network leverage metric,Percent
Staten Island North Shore Bus Rapid Transit,Network leverage result,0.5
Staten Island North Shore Bus Rapid Transit,Network leverage score,33
Staten Island North Shore Bus Rapid Transit,Cost: Guideway and Track Elements,"$108,410,000 "
Staten Island North Shore Bus Rapid Transit,"Cost: Stations, Stops, Terminals, Intermodal","$14,102,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Support Facilities,"$952,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Sitework and Special Considerations,"$435,390,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Systems,"$2,524,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Engineering Contingency,"$99,067,000 "
Staten Island North Shore Bus Rapid Transit,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Staten Island North Shore Bus Rapid Transit,Cost: Professional Services,"$168,413,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Contingency,"$132,089,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Original Estimate Year,2020
Staten Island North Shore Bus Rapid Transit,Cost: Escalation from original estimate year to Q1 2022 (varies),"$111,950,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Escalation from Q1 2022 to Q3 2027,"$223,476,000 "
Staten Island North Shore Bus Rapid Transit,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Staten Island North Shore Bus Rapid Transit,Network Leverage: % on MTA Right of Way,0%
Staten Island North Shore Bus Rapid Transit,Network Leverage: % on Public Right of Way,100%
Staten Island North Shore Bus Rapid Transit,Network Leverage: % on Private Right of Way,0%
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Description,Bus Rapid Transit along West Shore Expwy from Tottenville to North Shore.
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Objectives,"Provide more reliable transit service on Staten Island’s West Shore. Improve connections between neighborhoods, activity, and employment centers, and add opportunities for development and growth near stations."
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Total Construction Cost ($2027),"$2,140,000,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Vehicles ($2027),"$16,189,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Annual O&M Cost ($2027),"$24,000,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Daily Riders (2045),"8,200"
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,New Daily Riders (2045),"2,200"
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Equity Area Riders (2045),"2,440"
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Travel Time Saved Per Trip (minutes),12.8
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost/Time Saved metric,Cost/minute
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost/Time Saved result,$3.34 
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost/Time Saved score,82
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Equity metric,Percent
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Equity result,29.90%
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Equity score,9
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Sustainability metric,Change in daily vehicle miles traveled
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Sustainability result,"-16,545"
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Sustainability score,39
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Resiliency metric,Number of Rail Connections
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Resiliency result,1
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Resiliency score,6
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Capacity metric,Change in passenger hours
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Capacity result,-47
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Capacity score,0
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Geographic distribution metric,Change in hours
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Geographic distribution result,"-10,613"
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Geographic distribution score,41
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Network leverage metric,Percent
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Network leverage result,0.5
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Network leverage score,33
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Guideway and Track Elements,"$287,859,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,"Cost: Stations, Stops, Terminals, Intermodal","$55,859,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Support Facilities,$0 
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Sitework and Special Considerations,"$564,735,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Systems,"$19,962,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Engineering Contingency,"$163,838,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,"Cost: Right-of-Way (ROW), Land, and Existing Improvements",$0 
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Professional Services,"$278,525,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Contingency,"$218,451,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Original Estimate Year,2020
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Escalation from original estimate year to Q1 2022 (varies),"$185,145,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Escalation from Q1 2022 to Q3 2027,"$369,588,000 "
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Network Leverage: % on MTA Right of Way,0%
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Network Leverage: % on Public Right of Way,100%
Staten Island West Shore Bus Rapid Transit Alternative Considered: West Shore Expressway,Network Leverage: % on Private Right of Way,0%
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Description,"Improvements to transit connectivity and access within, to, and from the West Shore of Staten Island. The best performing alternative considered is Bus Rapid Transit along Korean War Veterans Pkwy and Richmond Avenue from Tottenville to Bayonne"
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Objectives,"Provide more reliable transit service on Staten Island’s West Shore. Improve connections between neighborhoods, activity, and employment centers, and add opportunities for development and growth near stations."
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Total Construction Cost ($2027),"$1,870,000,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost: Vehicles ($2027),"$10,792,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Annual O&M Cost ($2027),"$29,000,000 "
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Daily Riders (2045),"16,900"
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,New Daily Riders (2045),"3,500"
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Equity Area Riders (2045),"6,320"
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Travel Time Saved Per Trip (minutes),9.9
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost/Time Saved metric,Cost/minute
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost/Time Saved result,$1.95 
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Cost/Time Saved score,93
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Equity metric,Percent
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Equity result,37.30%
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Equity score,19
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Sustainability metric,Change in daily vehicle miles traveled
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Sustainability result,"-25,279"
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Sustainability score,49
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Resiliency metric,Number of Rail Connections
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Resiliency result,3
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Resiliency score,17
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Capacity metric,Change in passenger hours
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Capacity result,-46
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Capacity score,0
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Geographic distribution metric,Change in hours
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Geographic distribution result,"-25,566"
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Geographic distribution score,100
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Network leverage metric,Percent
Staten Island West Shore Bus Rapid Transit Korean War Veterans Pkwy,Network leverage result,0.5
